t,r0_x,r0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-9.81,10.0,0.0,0.0,0.0,0.0,-9.81,15.0,0.0,0.0,0.0,0.0,-9.81,20.0,0.0
0.01,0.0,0.0,4.999999999996046,-0.0004904999999998216,-2.3940875288714745e-09,-0.0980999999998407,-1.2025558326901809e-06,-9.80999999988201,10.0,-0.0004904999999999998,1.3083886038189967e-16,-0.09809999999999988,-2.5849394142282115e-26,-9.81,15.000000000003954,-0.0004904999999998216,2.3940874906539133e-09,-0.0980999999998407,1.202555832690181e-06,-9.80999999988201,20.0,0.0
0.02,0.0,0.0,4.99999996284786,-0.001961998931126194,-8.068401258348389e-07,-0.19619996837866618,-1.553198311208661e-05,-9.80999999317633,10.0,-0.0019619999999999733,1.2708763325087493e-16,-0.1961999999999945,-2.7755576250903624e-14,-9.81,15.00000003715214,-0.001961998931126194,8.068401258542585e-07,-0.19619996837866618,1.5531983139842185e-05,-9.80999999317633,20.0,0.0
0.03,0.0,0.0,4.999999887236596,-0.004414496549990267,-2.7645681110498125e-06,-0.29429990625029406,-8.616250598632184e-05,-9.809999918949249,10.0,-0.004414499999999911,1.2708783351459797e-16,-0.294299999999982,8.470329472543003e-22,-9.809999999999993,15.000000112763404,-0.004414496549990267,2.7645681110692253e-06,-0.29429990625029406,8.616250598632183e-05,-9.809999918949249,20.0,0.0
0.04,0.0,0.0,4.9999998334537405,-0.007847994737933614,-5.51255366102394e-06,-0.39239987403101273,-0.0002912999325762084,-9.809999529705385,10.0,-0.007847999999999859,1.270879944491475e-16,-0.3923999999999729,1.6940658945086007e-21,-9.809999999999983,15.00000016654626,-0.007847994737933614,5.512553661043346e-06,-0.39239987403101273,0.0002912999325762084,-9.809999529705385,20.0,0.0
0.05,0.0,0.0,4.999999804653267,-0.012262494449659463,-1.0384067303480135e-05,-0.490499890966167,-0.0007323058445389008,-9.809998180066287,10.0,-0.01226249999999984,1.2708801897812075e-16,-0.49049999999997296,0.0,-9.80999999999998,15.000000195346733,-0.012262494449659463,1.0384067303499541e-05,-0.490499890966167,0.000732305844538901,-9.809998180066287,20.0,0.0
0.06,0.0,0.0,4.999999745628778,-0.017657995680013416,-2.0433083976917236e-05,-0.5885999340866144,-0.0015335725104379564,-9.809994539119522,10.0,-0.017657999999999868,1.2708786857352494e-16,-0.5885999999999842,2.7755577309694808e-14,-9.80999999999998,15.000000254371223,-0.017657995680013416,2.0433083976936644e-05,-0.5885999340866144,0.0015335725103546895,-9.809994539119522,20.0,0.0
0.07,0.0,0.0,4.999999542813495,-0.02403449746398349,-4.043428303061003e-05,-0.6866999382087255,-0.002842517167258155,-9.809986226421945,10.0,-0.02403449999999994,1.270875632557775e-16,-0.6867000000000051,5.5511154619389616e-14,-9.809999999999977,15.000000457186506,-0.02403449746398349,4.043428303062944e-05,-0.6866999382087255,0.0028425171671748878,-9.809986226421945,20.0,0.0
0.08,0.0,0.0,4.999999024280268,-0.03139199787670004,-7.688304822460915e-05,-0.7847997959343844,-0.004829571939041819,-9.809969371713716,10.0,-0.03139200000000003,1.2708718159370593e-16,-0.7848000000000289,-5.551117156004856e-14,-9.80999999999996,15.00000097571973,-0.03139199787670004,7.688304822462856e-05,-0.7847997959343844,0.004829571939152842,-9.809969371713715,20.0,0.0
0.09,0.0,0.0,4.999997959741572,-0.039730494033435815,-0.00013799546772974122,-0.8828993576509877,-0.007688167642988311,-9.809938098430376,10.0,-0.039730500000000106,1.2708686070454785e-16,-0.8829000000000462,-1.3552527156068805e-20,-9.809999999999757,15.000002040258428,-0.039730494033435815,0.00013799546772976065,-0.8828993576509877,0.007688167642988311,-9.809938098430376,20.0,0.0
